,State,number_of_hotspots_27/3/2020
0,Maharashtra,4
1,Kerala,3
2,Madhya Pradesh,1
3,Tamil Nadu,1
4,Telangana,1
5,Gujarat,1
6,Rajasthan,1
7,Uttar Pradesh,1
8,Ladakh,1
9,Karnataka,1
10,Punjab,1
11,Haryana,1
