,State,number_of_hotspots_10/4/2020
0,Tamil Nadu,25
1,Rajasthan,12
2,Andhra Pradesh,11
3,Telangana,11
4,Maharashtra,10
5,Uttar Pradesh,9
6,Jammu and Kashmir,8
7,Punjab,7
8,Gujarat,7
9,Madhya Pradesh,6
10,Kerala,6
11,Karnataka,4
12,Haryana,4
13,Uttarakhand,1
14,Odisha,1
15,Chandigarh,1
16,Himachal Pradesh,1
17,Ladakh,1
18,Delhi,1
19,Chhattisgarh,1
20,Bihar,1
