,Date,State/UnionTerritory,Confirmed,Density,Intensity
90,2020-03-10,Kerala,15,859.0,0.017462165308498253
91,2020-03-10,Maharashtra,5,365.0,0.0136986301369863
92,2020-03-10,Punjab,1,550.0,0.0018181818181818182
93,2020-03-10,Rajasthan,15,201.0,0.07462686567164178
94,2020-03-10,Tamil Nadu,1,555.0,0.0018018018018018018
95,2020-03-10,Telengana,1,312.0,0.003205128205128205
96,2020-03-10,Jammu and Kashmir,1,98.0,0.01020408163265306
97,2020-03-11,Maharashtra,2,365.0,0.005479452054794521
98,2020-03-11,Delhi,5,11297.0,0.0004425953793042401
99,2020-03-11,Haryana,14,573.0,0.02443280977312391
100,2020-03-11,Kerala,17,859.0,0.01979045401629802
101,2020-03-11,Rajasthan,3,201.0,0.014925373134328358
102,2020-03-11,Telengana,1,312.0,0.003205128205128205
103,2020-03-11,Uttar Pradesh,9,828.0,0.010869565217391304
104,2020-03-11,Ladakh,2,2.8,0.7142857142857143
105,2020-03-11,Tamil Nadu,1,555.0,0.0018018018018018018
106,2020-03-11,Jammu and Kashmir,1,98.0,0.01020408163265306
107,2020-03-11,Punjab,1,550.0,0.0018181818181818182
108,2020-03-11,Karnataka,4,319.0,0.012539184952978056
109,2020-03-12,Delhi,6,11297.0,0.0005311144551650881
110,2020-03-12,Haryana,14,573.0,0.02443280977312391
111,2020-03-12,Kerala,17,859.0,0.01979045401629802
112,2020-03-12,Rajasthan,3,201.0,0.014925373134328358
113,2020-03-12,Telengana,1,312.0,0.003205128205128205
114,2020-03-12,Uttar Pradesh,11,828.0,0.013285024154589372
115,2020-03-12,Ladakh,3,2.8,1.0714285714285714
116,2020-03-12,Tamil Nadu,1,555.0,0.0018018018018018018
117,2020-03-12,Jammu and Kashmir,1,98.0,0.01020408163265306
118,2020-03-12,Punjab,1,550.0,0.0018181818181818182
119,2020-03-12,Karnataka,4,319.0,0.012539184952978056
120,2020-03-12,Maharashtra,11,365.0,0.030136986301369864
121,2020-03-12,Andhra Pradesh,1,303.0,0.0033003300330033004
122,2020-03-13,Delhi,6,11297.0,0.0005311144551650881
123,2020-03-13,Haryana,14,573.0,0.02443280977312391
124,2020-03-13,Kerala,19,859.0,0.02211874272409779
125,2020-03-13,Rajasthan,3,201.0,0.014925373134328358
126,2020-03-13,Telengana,1,312.0,0.003205128205128205
127,2020-03-13,Uttar Pradesh,11,828.0,0.013285024154589372
128,2020-03-13,Ladakh,3,2.8,1.0714285714285714
129,2020-03-13,Tamil Nadu,1,555.0,0.0018018018018018018
130,2020-03-13,Jammu and Kashmir,1,98.0,0.01020408163265306
131,2020-03-13,Punjab,1,550.0,0.0018181818181818182
132,2020-03-13,Karnataka,6,319.0,0.018808777429467086
133,2020-03-13,Maharashtra,14,365.0,0.038356164383561646
134,2020-03-13,Andhra Pradesh,1,303.0,0.0033003300330033004
135,2020-03-14,Delhi,7,11297.0,0.0006196335310259361
136,2020-03-14,Haryana,14,573.0,0.02443280977312391
137,2020-03-14,Kerala,19,859.0,0.02211874272409779
138,2020-03-14,Rajasthan,3,201.0,0.014925373134328358
139,2020-03-14,Telengana,1,312.0,0.003205128205128205
140,2020-03-14,Uttar Pradesh,12,828.0,0.014492753623188406
141,2020-03-14,Ladakh,3,2.8,1.0714285714285714
142,2020-03-14,Tamil Nadu,1,555.0,0.0018018018018018018
143,2020-03-14,Jammu and Kashmir,2,98.0,0.02040816326530612
144,2020-03-14,Punjab,1,550.0,0.0018181818181818182
145,2020-03-14,Karnataka,6,319.0,0.018808777429467086
146,2020-03-14,Maharashtra,14,365.0,0.038356164383561646
147,2020-03-14,Andhra Pradesh,1,303.0,0.0033003300330033004
148,2020-03-15,Andhra Pradesh,1,303.0,0.0033003300330033004
149,2020-03-15,Delhi,7,11297.0,0.0006196335310259361
150,2020-03-15,Haryana,14,573.0,0.02443280977312391
