,Date,State/UnionTerritory,Confirmed,Density,Intensity
228,2020-03-20,Andhra Pradesh,3,303.0,0.009900990099009901
229,2020-03-20,Chhattisgarh,1,189.0,0.005291005291005291
230,2020-03-20,Delhi,17,11297.0,0.0015048242896344162
231,2020-03-20,Gujarat,5,308.0,0.016233766233766232
232,2020-03-20,Haryana,17,573.0,0.029668411867364748
233,2020-03-20,Karnataka,15,319.0,0.047021943573667714
234,2020-03-20,Kerala,28,859.0,0.03259604190919674
235,2020-03-20,Maharashtra,52,365.0,0.14246575342465753
236,2020-03-20,Odisha,2,269.0,0.007434944237918215
237,2020-03-20,Puducherry,1,2598.0,0.00038491147036181676
238,2020-03-20,Punjab,2,550.0,0.0036363636363636364
239,2020-03-20,Rajasthan,17,201.0,0.0845771144278607
240,2020-03-20,Tamil Nadu,3,555.0,0.005405405405405406
241,2020-03-20,Telengana,17,312.0,0.05448717948717949
242,2020-03-20,Chandigarh,1,9252.0,0.00010808473843493298
243,2020-03-20,Jammu and Kashmir,4,98.0,0.04081632653061224
244,2020-03-20,Ladakh,10,2.8,3.5714285714285716
245,2020-03-20,Uttar Pradesh,23,828.0,0.027777777777777776
246,2020-03-20,Uttarakhand,3,189.0,0.015873015873015872
247,2020-03-20,West Bengal,2,1029.0,0.001943634596695821
